year,general,general_yield,north,north_yield,mid,mid_yield,natural,natural_yield,upland,upland_yield,kinbiko,kinbiko_yield,dunes,dunes_yield
0,3.869,961,0,821,0,821,3.869,1153,3.869,1153,0,821,0,855
1,-0.905,684,0,821,0,821,-0.905,821,-0.905,821,0,821,0,855
2,-0.3,684,0,821,0,821,-0.3,821,-0.3,821,0,821,0,855
3,4.214,961,0,821,0,821,4.214,1153,4.214,1153,0,821,0,855
4,3.02,961,0,821,0,821,3.02,1153,3.02,1153,0,821,0,855
5,1.8379999,824,0,821,0,821,1.8379999,988,1.8379999,988,0,821,0,855
6,-1.8379999,599,0,821,0,821,-1.8379999,719,-1.8379999,719,0,821,0,855
7,-0.267,684,0,821,0,821,-0.267,821,-0.267,821,0,821,0,855
8,-4.7799997,514,0,821,0,821,-4.7799997,617,-4.7799997,617,0,821,0,855
9,-4.064,514,0,821,0,821,-4.064,617,-4.064,617,0,821,0,855
10,2.754,824,0,821,0,821,2.754,988,2.754,988,0,821,0,855
11,-0.094000004,684,0,821,0,821,-0.094000004,821,-0.094000004,821,0,821,0,855
12,-0.84400004,684,0,821,0,821,-0.84400004,821,-0.84400004,821,0,821,0,855
13,0.511,684,0,821,0,821,0.511,821,0.511,821,0,821,0,855
14,1.31,824,0,821,0,821,1.31,988,1.31,988,0,821,0,855
15,-1.138,599,0,821,0,821,-1.138,719,-1.138,719,0,821,0,855
16,-1.8489999,599,0,821,0,821,-1.8489999,719,-1.8489999,719,0,821,0,855
17,-3.492,514,0,821,0,821,-3.492,617,-3.492,617,0,821,0,855
18,-1.621,599,0,821,0,821,-1.621,719,-1.621,719,0,821,0,855
19,-2.6369998,599,0,821,0,821,-2.6369998,719,-2.6369998,719,0,821,0,855
20,2.609,824,0,821,0,821,2.609,988,2.609,988,0,821,0,855
21,6.9340005,961,0,821,0,821,6.9340005,1153,6.9340005,1153,0,821,0,855
22,4.613,961,0,821,0,821,4.613,1153,4.613,1153,0,821,0,855
23,-4.752,514,0,821,0,821,-4.752,617,-4.752,617,0,821,0,855
24,-0.91599995,684,0,821,0,821,-0.91599995,821,-0.91599995,821,0,821,0,855
25,-2.9650002,599,0,821,0,821,-2.9650002,719,-2.9650002,719,0,821,0,855
26,1.8039999,824,0,821,0,821,1.8039999,988,1.8039999,988,0,821,0,855
27,-2.9090002,599,0,821,0,821,-2.9090002,719,-2.9090002,719,0,821,0,855
28,-0.29400003,684,0,821,0,821,-0.29400003,821,-0.29400003,821,0,821,0,855
29,-1.877,599,0,821,0,821,-1.877,719,-1.877,719,0,821,0,855
30,-3.559,514,0,821,0,821,-3.559,617,-3.559,617,0,821,0,855
31,2.876,824,0,821,0,821,2.876,988,2.876,988,0,821,0,855
32,1.9599999,824,0,821,0,821,1.9599999,988,1.9599999,988,0,821,0,855
33,0.661,684,0,821,0,821,0.661,821,0.661,821,0,821,0,855
34,-1.138,599,0,821,0,821,-1.138,719,-1.138,719,0,821,0,855
35,-3.77,514,0,821,0,821,-3.77,617,-3.77,617,0,821,0,855
36,3.747,961,0,821,0,821,3.747,1153,3.747,1153,0,821,0,855
37,-1.921,599,0,821,0,821,-1.921,719,-1.921,719,0,821,0,855
38,1.999,824,0,821,0,821,1.999,988,1.999,988,0,821,0,855
39,-0.33900002,684,0,821,0,821,-0.33900002,821,-0.33900002,821,0,821,0,855
40,-4.2799997,514,0,821,0,821,-4.2799997,617,-4.2799997,617,0,821,0,855
41,-0.516,684,0,821,0,821,-0.516,821,-0.516,821,0,821,0,855
42,-1.299,599,0,821,0,821,-1.299,719,-1.299,719,0,821,0,855
43,0.805,684,0,821,0,821,0.805,821,0.805,821,0,821,0,855
44,-1.538,599,0,821,0,821,-1.538,719,-1.538,719,0,821,0,855
45,0.278,684,0,821,0,821,0.278,821,0.278,821,0,821,0,855
46,-0.65000004,684,0,821,0,821,-0.65000004,821,-0.65000004,821,0,821,0,855
47,-2.498,599,0,821,0,821,-2.498,719,-2.498,719,0,821,0,855
48,0.33900002,684,0,821,0,821,0.33900002,821,0.33900002,821,0,821,0,855
49,-0.733,684,0,821,0,821,-0.733,821,-0.733,821,0,821,0,855
50,0.561,684,0,821,0,821,0.561,821,0.561,821,0,821,0,855
51,-2.232,599,0,821,0,821,-2.232,719,-2.232,719,0,821,0,855
52,2.903,824,0,821,0,821,2.903,988,2.903,988,0,821,0,855
53,-1.155,599,0,821,0,821,-1.155,719,-1.155,719,0,821,0,855
54,1.527,824,0,821,0,821,1.527,988,1.527,988,0,821,0,855
55,-0.32200003,684,0,821,0,821,-0.32200003,821,-0.32200003,821,0,821,0,855
56,4.136,961,0,821,0,821,4.136,1153,4.136,1153,0,821,0,855
57,-2.1369998,599,0,821,0,821,-2.1369998,719,-2.1369998,719,0,821,0,855
58,3.053,961,0,821,0,821,3.053,1153,3.053,1153,0,821,0,855
59,-1.56,599,0,821,0,821,-1.56,719,-1.56,719,0,821,0,855
60,0.228,684,0,821,0,821,0.228,821,0.228,821,0,821,0,855
61,1.9599999,824,0,821,0,821,1.9599999,988,1.9599999,988,0,821,0,855
62,2.759,824,0,821,0,821,2.759,988,2.759,988,0,821,0,855
63,-1.677,599,0,821,0,821,-1.677,719,-1.677,719,0,821,0,855
64,-0.533,684,0,821,0,821,-0.533,821,-0.533,821,0,821,0,855
65,-0.52199996,684,0,821,0,821,-0.52199996,821,-0.52199996,821,0,821,0,855
66,0.416,684,0,821,0,821,0.416,821,0.416,821,0,821,0,855
67,-2.559,599,0,821,0,821,-2.559,719,-2.559,719,0,821,0,855
68,-0.478,684,0,821,0,821,-0.478,821,-0.478,821,0,821,0,855
69,1.51,824,0,821,0,821,1.51,988,1.51,988,0,821,0,855
70,-1.999,599,0,821,0,821,-1.999,719,-1.999,719,0,821,0,855
71,-0.69400007,684,0,821,0,821,-0.69400007,821,-0.69400007,821,0,821,0,855
72,-0.927,684,0,821,0,821,-0.927,821,-0.927,821,0,821,0,855
73,-1.915,599,0,821,0,821,-1.915,719,-1.915,719,0,821,0,855
74,-2.509,599,0,821,0,821,-2.509,719,-2.509,719,0,821,0,855
75,-2.8979998,599,0,821,0,821,-2.8979998,719,-2.8979998,719,0,821,0,855
76,1.099,824,0,821,0,821,1.099,988,1.099,988,0,821,0,855
77,-1.555,599,0,821,0,821,-1.555,719,-1.555,719,0,821,0,855
78,-2.6039999,599,0,821,0,821,-2.6039999,719,-2.6039999,719,0,821,0,855
79,-1.26,599,0,821,0,821,-1.26,719,-1.26,719,0,821,0,855
80,-1.81,599,0,821,0,821,-1.81,719,-1.81,719,0,821,0,855
81,1.132,824,0,821,0,821,1.132,988,1.132,988,0,821,0,855
82,-0.29400003,684,0,821,0,821,-0.29400003,821,-0.29400003,821,0,821,0,855
83,-2.182,599,0,821,0,821,-2.182,719,-2.182,719,0,821,0,855
84,-1.821,599,0,821,0,821,-1.821,719,-1.821,719,0,821,0,855
85,-0.32200003,684,0,821,0,821,-0.32200003,821,-0.32200003,821,0,821,0,855
86,-0.32200003,684,0,821,0,821,-0.32200003,821,-0.32200003,821,0,821,0,855
87,-0.861,684,0,821,0,821,-0.861,821,-0.861,821,0,821,0,855
88,-0.1,684,0,821,0,821,-0.1,821,-0.1,821,0,821,0,855
89,-0.67700005,684,0,821,0,821,-0.67700005,821,-0.67700005,821,0,821,0,855
90,0.272,684,0,821,0,821,0.272,821,0.272,821,0,821,0,855
91,-2.365,599,0,821,0,821,-2.365,719,-2.365,719,0,821,0,855
92,-2.143,599,0,821,0,821,-2.143,719,-2.143,719,0,821,0,855
93,1.9760001,824,0,821,0,821,1.9760001,988,1.9760001,988,0,821,0,855
94,0.228,684,0,821,0,821,0.228,821,0.228,821,0,821,0,855
95,0.672,684,0,821,0,821,0.672,821,0.672,821,0,821,0,855
96,1.888,824,0,821,0,821,1.888,988,1.888,988,0,821,0,855
97,2.1479998,824,0,821,0,821,2.1479998,988,2.1479998,988,0,821,0,855
98,0.838,684,0,821,0,821,0.838,821,0.838,821,0,821,0,855
99,1.499,824,0,821,0,821,1.499,988,1.499,988,0,821,0,855
100,-2.437,599,0,821,0,821,-2.437,719,-2.437,719,0,821,0,855
101,-2.5479999,599,0,821,0,821,-2.5479999,719,-2.5479999,719,0,821,0,855
102,0.3,684,0,821,0,821,0.3,821,0.3,821,0,821,0,855
103,-2.1869998,599,0,821,0,821,-2.1869998,719,-2.1869998,719,0,821,0,855
104,-3.203,514,0,821,0,821,-3.203,617,-3.203,617,0,821,0,855
105,1.3549999,824,0,821,0,821,1.3549999,988,1.3549999,988,0,821,0,855
106,-2.243,599,0,821,0,821,-2.243,719,-2.243,719,0,821,0,855
107,-3.37,514,0,821,0,821,-3.37,617,-3.37,617,0,821,0,855
108,3.003,961,0,821,0,821,3.003,1153,3.003,1153,0,821,0,855
109,0.2,684,0,821,0,821,0.2,821,0.2,821,0,821,0,855
110,-1.238,599,0,821,0,821,-1.238,719,-1.238,719,0,821,0,855
111,1.765,824,0,821,0,821,1.765,988,1.765,988,0,821,0,855
112,-0.62700003,684,0,821,0,821,-0.62700003,821,-0.62700003,821,0,821,0,855
113,1.4489999,824,0,821,0,821,1.4489999,988,1.4489999,988,0,821,0,855
114,-0.072,684,0,821,0,821,-0.072,821,-0.072,821,0,821,0,855
115,0.805,684,0,821,0,821,0.805,821,0.805,821,0,821,0,855
116,-0.139,684,0,821,0,821,-0.139,821,-0.139,821,0,821,0,855
117,2.92,824,0,821,0,821,2.92,988,2.92,988,0,821,0,855
118,1.416,824,0,821,0,821,1.416,988,1.416,988,0,821,0,855
119,0.377,684,0,821,0,821,0.377,821,0.377,821,0,821,0,855
120,-4.2469997,514,0,821,0,821,-4.2469997,617,-4.2469997,617,0,821,0,855
121,1.0710001,824,0,821,0,821,1.0710001,988,1.0710001,988,0,821,0,855
122,-0.733,684,0,821,0,821,-0.733,821,-0.733,821,0,821,0,855
123,-1.7770001,599,0,821,0,821,-1.7770001,719,-1.7770001,719,0,821,0,855
124,-3.2979999,514,0,821,0,821,-3.2979999,617,-3.2979999,617,0,821,0,855
125,1.682,824,0,821,0,821,1.682,988,1.682,988,0,821,0,855
126,3.3479998,961,0,821,0,821,3.3479998,1153,3.3479998,1153,0,821,0,855
127,0.561,684,0,821,0,821,0.561,821,0.561,821,0,821,0,855
128,2.271,824,0,821,0,821,2.271,988,2.271,988,0,821,0,855
129,1.033,824,0,821,0,821,1.033,988,1.033,988,0,821,0,855
130,-3.992,514,0,821,0,821,-3.992,617,-3.992,617,0,821,0,855
131,1.405,824,0,821,0,821,1.405,988,1.405,988,0,821,0,855
132,0.155,684,0,821,0,821,0.155,821,0.155,821,0,821,0,855
133,0.65500003,684,0,821,0,821,0.65500003,821,0.65500003,821,0,821,0,855
134,-0.18300001,684,0,821,0,821,-0.18300001,821,-0.18300001,821,0,821,0,855
135,-3.004,514,0,821,0,821,-3.004,617,-3.004,617,0,821,0,855
136,0.988,684,0,821,0,821,0.988,821,0.988,821,0,821,0,855
137,-1.3939999,599,0,821,0,821,-1.3939999,719,-1.3939999,719,0,821,0,855
138,2.47,824,0,821,0,821,2.47,988,2.47,988,0,821,0,855
139,-1.26,599,0,821,0,821,-1.26,719,-1.26,719,0,821,0,855
140,0.32700002,684,0,821,0,821,0.32700002,821,0.32700002,821,0,821,0,855
141,-0.072,684,0,821,0,821,-0.072,821,-0.072,821,0,821,0,855
142,1.31,824,0,821,0,821,1.31,988,1.31,988,0,821,0,855
143,-2.1929998,599,0,821,0,821,-2.1929998,719,-2.1929998,719,0,821,0,855
144,-0.91599995,684,0,821,0,821,-0.91599995,821,-0.91599995,821,0,821,0,855
145,1.41,824,0,821,0,821,1.41,988,1.41,988,0,821,0,855
146,1.443,824,0,821,0,821,1.443,988,1.443,988,0,821,0,855
147,1.116,824,0,821,0,821,1.116,988,1.116,988,0,821,0,855
148,0.33900002,684,0,821,0,821,0.33900002,821,0.33900002,821,0,821,0,855
149,2.026,824,0,821,0,821,2.026,988,2.026,988,0,821,0,855
150,1.5539999,824,0,821,0,821,1.5539999,988,1.5539999,988,0,821,0,855
151,-4.147,514,0,821,0,821,-4.147,617,-4.147,617,0,821,0,855
152,1.593,824,0,821,0,821,1.593,988,1.593,988,0,821,0,855
153,1.305,824,0,821,0,821,1.305,988,1.305,988,0,821,0,855
154,-4.3190002,514,0,821,0,821,-4.3190002,617,-4.3190002,617,0,821,0,855
155,-0.472,684,0,821,0,821,-0.472,821,-0.472,821,0,821,0,855
156,1.021,824,0,821,0,821,1.021,988,1.021,988,0,821,0,855
157,-2.526,599,0,821,0,821,-2.526,719,-2.526,719,0,821,0,855
158,-0.117,684,0,821,0,821,-0.117,821,-0.117,821,0,821,0,855
159,0.289,684,0,821,0,821,0.289,821,0.289,821,0,821,0,855
160,2.6979997,824,0,821,0,821,2.6979997,988,2.6979997,988,0,821,0,855
161,-0.639,684,0,821,0,821,-0.639,821,-0.639,821,0,821,0,855
162,0.566,684,0,821,0,821,0.566,821,0.566,821,0,821,0,855
163,-0.683,684,0,821,0,821,-0.683,821,-0.683,821,0,821,0,855
164,-2.443,599,0,821,0,821,-2.443,719,-2.443,719,0,821,0,855
165,-0.42200002,684,0,821,0,821,-0.42200002,821,-0.42200002,821,0,821,0,855
166,3.103,961,0,821,0,821,3.103,1153,3.103,1153,0,821,0,855
167,-1.2770001,599,0,821,0,821,-1.2770001,719,-1.2770001,719,0,821,0,855
168,-4.408,514,0,821,0,821,-4.408,617,-4.408,617,0,821,0,855
169,-2.232,599,0,821,0,821,-2.232,719,-2.232,719,0,821,0,855
170,1.0710001,824,2,988,0,821,1.0710001,988,1.0710001,988,2,988,0,855
171,1.199,824,2,988,0,821,1.199,988,1.199,988,2,988,0,855
172,-3.586,514,2,988,0,821,-3.586,617,-3.586,617,2,988,0,855
173,5.979,961,2,988,0,821,5.979,1153,5.979,1153,2,988,0,855
174,-0.672,684,2,988,2,988,-0.672,821,-0.672,821,2,988,0,855
175,-2.332,599,2,988,2,988,-2.332,719,-2.332,719,2,988,0,855
176,-1.582,599,2,988,2,988,-1.582,719,-1.582,719,2,988,0,855
177,1.732,824,2,988,2,988,1.732,988,1.732,988,2,988,0,855
178,-2.532,599,2,988,2,988,-2.532,719,-2.532,719,2,988,0,855
179,-0.555,684,2,988,2,988,-0.555,821,-0.555,821,2,988,0,855
180,-5.507,514,2,988,2,988,-5.507,617,-5.507,617,2,988,0,855
181,-3.4420002,514,2,988,2,988,-3.4420002,617,-3.4420002,617,2,988,0,855
182,1.9489999,824,2,988,2,988,1.9489999,988,1.9489999,988,2,988,0,855
183,-2.221,599,2,988,2,988,-2.221,719,-2.221,719,2,988,0,855
184,-1.915,599,2,988,2,988,-1.915,719,-1.915,719,2,988,0,855
185,1.194,824,2,988,2,988,1.194,988,1.194,988,2,988,0,855
186,1.477,824,2,988,2,988,1.477,988,1.477,988,2,988,0,855
187,4.613,961,2,988,2,988,4.613,1153,4.613,1153,2,988,0,855
188,5.829,961,2,988,2,988,5.829,1153,5.829,1153,2,988,0,855
189,8.033,961,2,988,2,988,8.033,1153,8.033,1153,2,988,0,855
190,-1.4269999,599,2,988,2,988,-1.4269999,719,-1.4269999,719,2,988,0,855
191,-5.2019997,514,2,988,2,988,-5.2019997,617,-5.2019997,617,2,988,0,855
192,-2.537,599,2,988,2,988,-2.537,719,-2.537,719,2,988,0,855
193,-2.92,599,2,988,2,988,-2.92,719,-2.92,719,2,988,0,855
194,4,961,2,988,2,988,2,988,2,988,2,988,0,855
195,4,961,2,988,2,988,2,988,2,988,2,988,0,855
196,4,961,2,988,2,988,2,988,2,988,2,988,0,855
197,4,961,2,988,2,988,2,988,2,988,2,988,0,855
198,4,961,2,988,2,988,2,988,2,988,2,988,0,855
199,4,961,2,988,2,988,2,988,2,988,2,988,0,855
200,4,961,2,988,2,988,2,988,2,988,2,988,0,855
201,4,961,2,988,2,988,2,988,2,988,2,988,0,855
202,4,961,2,988,2,988,2,988,2,988,2,988,0,855
203,4,961,2,988,2,988,2,988,2,988,2,988,0,855
204,4,961,2,988,2,988,2,988,2,988,2,988,0,855
205,4,961,2,988,2,988,2,988,2,988,2,988,0,855
206,4,961,2,988,2,988,2,988,2,988,2,988,0,855
207,4,961,2,988,2,988,2,988,2,988,2,988,0,855
208,4,961,2,988,2,988,2,988,2,988,2,988,0,855
209,4,961,2,988,2,988,2,988,2,988,2,988,0,855
210,4,961,2,988,2,988,2,988,2,988,2,988,0,855
211,4,961,2,988,2,988,2,988,2,988,2,988,0,855
212,4,961,2,988,2,988,2,988,2,988,2,988,0,855
213,4,961,2,988,2,988,2,988,2,988,2,988,0,855
214,4,961,2,988,2,988,2,988,2,988,2,988,0,855
215,4,961,2,988,2,988,2,988,2,988,2,988,0,855
216,4,961,2,988,2,988,2,988,2,988,2,988,0,855
217,4,961,2,988,2,988,2,988,2,988,2,988,0,855
218,4,961,2,988,2,988,2,988,2,988,2,988,0,855
219,4,961,2,988,4,1153,2,988,2,988,2,988,0,855
220,4,961,2,988,4,1153,2,988,2,988,2,988,0,855
221,4,961,2,988,4,1153,2,988,2,988,2,988,0,855
222,4,961,2,988,4,1153,2,988,2,988,2,988,0,855
223,4,961,2,988,4,1153,2,988,2,988,2,988,0,855
224,4,961,2,988,4,1153,2,988,2,988,2,988,0,855
225,4,961,2,988,4,1153,2,988,2,988,2,988,0,855
226,4,961,2,988,4,1153,2,988,2,988,2,988,0,855
227,4,961,2,988,4,1153,2,988,2,988,2,988,0,855
228,4,961,2,988,4,1153,2,988,2,988,2,988,0,855
229,4,961,2,988,4,1153,2,988,2,988,2,988,0,855
230,4,961,2,988,4,1153,2,988,2,988,2,988,0,855
231,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
232,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
233,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
234,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
235,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
236,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
237,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
238,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
239,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
240,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
241,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
242,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
243,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
244,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
245,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
246,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
247,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
248,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
249,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
250,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
251,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
252,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
253,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
254,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
255,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
256,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
257,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
258,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
259,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
260,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
261,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
262,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
263,4,961,4,1153,4,1153,2,988,2,988,4,1153,0,855
